Date,Time,Location,Operator,Flight,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Latitude,Longitude
09/17/1961,08:57,"Chicago, Illinois",Northwest Orient Airlines,706,Chicago - Tampa,Lockheed 188C  Electra,N137US,1142,370.0,370,0.0,"Takeoff and Initial climb appeared to be normal, but at approximately 200 feet a shallow turn to the right continued into a gradually increasing bank of about 85 to 90 degrees. While in the turn, the crew made a short, garbled transmission indicating alarm. During the latter part of the turn a gradual descent began and, two minutes after taking off, the aircraft struck the ground. Mechanical failure in the aileron primary control system due to an improper replacement of the aileron boost assembly, resulting in a loss of lateral control of the aircraft at an altitude too low to effect recovery.",41.8755616,-87.6244212
05/03/1963,,"Sao Paulo, Brazil",Cruzeiro,,Sao Paulo - Rio de Janeiro,Convair CV-340-59,PP-CDW,159,500.0,370,0.0,"The aircraft returned to airport after the No. 2 caught fire. The crew feathered the prop, made a left turn, stalled and crashed into a house. Improper feathering procedure.",-23.5506507,-46.6333824
02/07/1966,,"Srinagar, India",Indian Airlines,,Srinngar - Jammu - Amritsar - Delhi,Fokker F-27 Friendship 200,PH-SAB,10271,370.0,370,0.0,"Crashed into high terrain, 12 miles west of its proper course, due to a navigation error. Abandonment of the ILS approach at too early a stage during an attempt to land under conditions of poor visibility in fog.",34.0747444,74.8204443
11/04/1967,,"Fernhurst, Sussex, England",Iberia Airlines,,Malaga - London,Sud Aviation Caravelle 10R,EC-BDD,202/204,370.0,370,0.0,"The aircraft descended too low and flew into the southern slope of Black Down Hill.  Descended through its assigned altitude for reasons unknown. Actress June Thorburn, 36,  killed.",51.0481925,-0.7233101
02/24/1968,,"Ban Napa, Laos",Royal Air Lao,,Vientiane - Sayaboury,Douglas DC-3,XW-TAD,26696,370.0,370,0.0,Crashed into the Mekong River.,19.5908178,103.6609889
07/30/1970,,"Pau, France",Military - Forces Militaires Françaises,,,Nord 2501 Noratlas,,,370.0,370,0.0,,43.2957547,-0.3685668
10/21/1972,c:09:00,"Off Athens, Greece",OlympiAirways,,Kerkira - Athens,NAMC YS-11A-202,SX-BBQ,2155,530.0,370,0.0,Crashed into the sea just short of the runway while on approach in poor visibility.,37.9769333,23.734015
04/27/1976,15:10,"St. Thomas, Virgin Islands",American Airlines,625,New York City - Saint Thomas,Boeing B-727-95,N1963,19837/499,880.0,370,0.0,"After touching down 2,200 feet down the runway, a go-around procedure was initiated. When there was no acceleration felt, the throttles were closed again. After attaining a nose-up attitude of 11 degrees, the aircraft ran off the end of the runway and struck a localizer antenna. The wingtip then clipped a hillside, the aircraft hit an embankment, went airborne and contacted the ground bursting into flames. The captain's actions and his judgement in initiating a go-around manoeuver with insufficient runway remaining after a long touchdown.",18.34290815,-64.91889970060265
08/26/1980,,"Near Jakarta, Indonesia",Bouraq Indonesia Airlines,,Banjarmasin-Sjamsudin Noor  -  Jakarta,Vickers Viscount 812,PK-IVS,353,370.0,370,0.0,"A section of the tail separated in flight and the aircraft crashed into a swamp. Broken spigot fitting, which is part of  the elevator torque tube assembly. The part was not repaced as required.",-6.2617877,106.8148171
05/01/1986,06:32,"San Salvador, El Salvador",Military - El Salvador Air Force,,San Salvador - Panama City,Douglas DC-6,FAS-302,45078,370.0,370,0.0,Crashed into a hill following an engine fire.,13.6989939,-89.1914249
10/15/1987,18:28,"Mt. Crezzo, Italy",Aero Transporti Italiani,,Milan - Koln,Aerospatiale Alenia ATR-42-312,I-ATRH,46,370.0,370,0.0,"Shortly after taking off from Milan and passing through FL147, the aircraft nosed down and crashed into a mountain, in icing conditions. Icing of the wings.",45.8992118,9.2832264
12/13/1992,,"Goma, Congo",Scibe Airlift Cargo Zaire,140,,Fokker F-27 Friendship 400M,9Q-CBH,10649,370.0,370,0.0,"The aircraft flew into high ground at 8,800 ft. while positioning for an approach to Goma.The accident happened in darkness.",-1.6665685,29.225652
07/02/1994,18:43,"Charlotte, North Carolina",USAir,1016,"Columbia, SC - Charlotte, NC",McDonnell Douglas DC-9-30,N954VJ,47590,570.0,370,0.0,The aircraft crashed into trees and a private residence after a  missed approach during adverse weather conditions. Microburst induced windshear. Crew's inability to recognize windshear and microburst conditions.  The flightcrew's decision to continue an approach into severe convective activity that was conducive to a microburst. The flightcrew's failure to recognize a windshear situation in a timely manner. The flightcrew's failure to establish and maintain the proper airplane attitude and thrust setting necessary to escape the windshear. The lack of real-time adverse weather and windshear hazard information dissemination from air trafficontrol.,35.2272086,-80.8430827
01/13/2004,19:40,"Tashkent, Uzbekistan",Uzbekistan Airways,1154,Termez - Tashkent,Yakovlev YAK-40,UK-87985,9540844,370.0,370,0.0,"Crashed while attempting to land in heavy fog. The aircraft struck a stanchion of approach lights and flipped over, hitting the outside of a wall surrounding the landing area.",41.3123363,69.2787079
11/13/1951,,"Puy-de-Dôme, France",Military - U. S. Air Force,,Frankfort - Bordeaux,Fairchild C-82 Packet,45-57801A,10171,360.0,360,0.0,Flew into Mt. Dore.,45.7715343,3.0839934206717934
04/08/1954,10:03,"Moose Jaw, SK, Canada",Trans Canada Air Lines / RCAF,,,Canadair C-4-1Argonaut / Harvard Mark II,CF-TFW/RCAF3309,150,360.0,360,10.0,"Midair collision between a Canadair C-4-1 and a RCAF Harvard Mark II at 6,000 feet.  Thirty-five killed on the Canadair, one on the Harvard. Failure on the part of the pilots of both aircraft to maintain a proper lookout. The onus of responsibility for keeping out of the way being with the Harvard aircraft as it had the other on its own right side.",50.401515,-105.542908
08/09/1958,01:14,"Benghazi, Libya",Central African Airways,,Wadi Halfa - Benina,Vickers Viscount 748D,VP-YNE,102,540.0,360,0.0,Crashed into high ground during approach. Misinterpreted or misread altimeter reading. Possible fatigue.,32.1288331,20.0817204
01/11/1959,,"Rio de Janeiro, Brazil",Lufthansa,,Hamburg - Rio de Janeiro,Lockheed 1049G Super Constellation,D-ALAK,4602,390.0,360,0.0,"The plane descended over Guanabara Bay in rain, struck the water with the nosewheel and crashed on Flecheiras Beach, short of the runway. Descent below minima for reasons unknown. Crew fatigue possible.",-22.9110137,-43.2093727
10/27/1965,01:23,"London, England",British European Airways,,Edinburgh - London,Vickers Vanguard 951,G-APEE,708,360.0,360,0.0,"The aircraft made two unsuccessfull attempts at landing at Heathrow Airport and overshot the runway. The third time, the plane again overshot the runway, began climbing, then suddenly dove into the runway at a steep angle. Pilot error. Low visibility, crew fatigue, disorientation, lack of experience in overshooting in fog, over-reliance on instruments and incorrect indication of position by instruments.",51.5073359,-0.12765
02/24/1969,,"Tainan, Taiwan",Far Eastern Air Transport,,Kaohsiung - Taipei,Handley Page Dart Herald 201,B-2009,157,360.0,360,0.0,Crashed after experiencing an engine failure during takeoff. The plane passed over a wooded area and belly-landed in a small cleared and skidded into a creek.,22.9912348,120.184982
04/21/1970,,"Manila, Philippines",Philippine Air Lines,215,Cuayan - Manila,Hawker Siddeley HS-748-209,PI-C-1022,1643,360.0,360,0.0,"The aircraft was on a flight from Cauayan, Isabela to Manila when it crashed into mountainous terrain after an explosion in the rear lavatory of the aircraft  broke off the tail section.",14.5906346,120.9799964
03/13/1974,19:28,"Bishop, California",Sierra PacifiAirlines,802,Bishop - Burbank,Convair CV-440,N4819C,138,360.0,360,0.0,"The aircraft crashed into Poleta Ridge, in the foothills of  the White Mountains at 6,100 ft.  The Wolper Productions Inc. movie crew was being flown from Bishop to Burbank. The flight was being conducted under VFR conditions. It could not be determined why the crew did not maintain a safe distance from hazardous terrain.",37.363679,-118.39524
09/14/1980,,"Kindu, Zaire",Military - Force Aérienne Zaïroise,,,Lockheed Hercules C-130,9T-TCE,4569,360.0,360,0.0,Crashed on takeoff after losing one engine.,-2.9493766,25.9184499
12/26/1993,,"Gyumri, Armenia",Kuban Airlines,5719,Krasnadar - Gyumri,Antonov AN-26,CCCP-26141,12903,360.0,360,0.0,The aircraft stalled and crashed in fog when the tail struck the runway as the pilot attempted a go-around as it landed at Gyumri.,40.7852085,43.8416095
05/06/1937,19:25,"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,LZ 129,Frankfurt - Lakehurst N.J.,Zeppelin LZ-129,D-LZ-129,D-LZ129,970.0,350,10.0,"The airship Hindenburg caught fire and burned while being moored at Lakehurst, New Jersey.  Possible causes were statidischarge which ignited leaking hydrogen or sabotage. It has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. Thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a statidischarge between the Hindenburg's outer skin and frame causing the hydrogen to ignite.",40.014561,-74.3112574
07/12/1949,07:43,"Chatsworth, California",Standard Airlines,897R,Albuquerque - Burbank,Curtiss C-46E-1-CS,N79978,2936,480.0,350,0.0,The plane was flying in level flight with the gear down. The right wing tip brushed the side of a hill pulling the plane around 90 degrees. It hit the ground and bounced 300 feet into the air and crashed. Pilot's action in descending below the prescribed minimum altitude while executing an ILS approach.,34.2595715,-118.6023247
03/20/1953,18:38,"Alvarado, California",Transocean Air Lines,942,Roswell - Oakland - Guam,Douglas DC-4  (C-54-10-DO),N88942,36076,350.0,350,0.0,"The aircraft crashed into a flat barley field and burned. The aircraft first struck the ground with its right wing tip in a near vertical position, cartwheeled and disintegrated. All 30 passengers were maintenance personnel from the 509th Bomb Wing, noted for dropping the atomibombs on Japan. Accumulation of ice on the surfaces of the aircraft in sufficient magnitude to have caused loss of control. Official cause of loss of control unknown.",37.5964872,-122.0789268
02/01/1954,13:50,"Off Hokkaido, Japan",Military - U.S. Air Force,,Misawa - Chitose,Curtiss-Wright C46D-CU,44-78027A,33423,350.0,350,0.0,"After reporting a fire in the cargo hold and that a ditching was imminent,  the last message from the aircraft was 'I've lost control of the aircraft we're going in.'",43.1488731,141.2849765
04/22/1960,,"Bunia, Belgian Congo",Sobelair SA (Belgium),,Cairo - Bunia,Douglas C-54B,OO-SBL,3099,350.0,350,0.0,Crashed into mountain while on approach. Crew error. The decision by the pilot in descending below the minimum ceiling prescribed.,1.5620529,30.2478844
08/17/1960,,"Kiev, Ukraine, USSR",Aeroflot,,Cairo - Moscow,Ilyushin IL-18,CCCP 75705,189001702,350.0,350,0.0,Crashed after an in-flight fire aboard the aircraft.,50.4507554,30.5156729
07/13/1963,,"Near Irkutsk, Russia",Aeroflot,,Moscow - Irkutsk,Tupolev TU-104B,CCCP42492,21605,350.0,350,0.0,Crashed 2 miles short of the runway during approach. Premature descent.,52.28979145,104.29383235
04/11/1967,,"Tamanrasset, Algeria",Air Algerie,,Algiers - Tamanrasset,Douglas DC-4,7T-VAU,3065,390.0,350,0.0,Crashed into a mountainside while descending to land at Tamanrasset. Cause unknown.,24.3753438,4.3208436
08/10/1968,07:57,"Charleston, West Virginia",Piedmont Airlines,230,"Cincinnati - Charlston, WV",Fairchild-Hiller FH-227B,N712U,557,370.0,350,0.0,"Crashed on approach to Kanawha County Airport in poor visibility. The aircraft was being operated under VFR when it entered a shallow fog overlying the approach lights.  Unrecognized loss of altitude orientation during the final portion of the approach into shallow, dense fog. Disorientation caused by rapid reduction in the ground guidance segment available to the pilot at a point beyond which a go-around could not be initiated.",38.3505995,-81.6332812
09/15/1988,13:05,"Bahar Dar, Ethiopia",Ethiopian Airlines,604,Bahar Dar - Asmara,Boeing B-737-230,ET-AJA,23914/1456,1040.0,350,0.0,"During takeoff, the aircraft ingested numerous pigeons into both engines. One engine lost thrust almost immediately and the second lost thrust during the emergency return to the airport. The aircraft crashed while trying to land. Engine failure due to ingestion of 10-16 Columba Guinea birds.",11.5949663,37.3882251
04/03/1996,14:52,"Near Dubrovnik, Croatia",Military - U.S. Air Force,21,Tizla - Dubrovnik,Boeing B-737-T43,73-1149,20696/347,350.0,350,0.0,"The aircraft strayed off course and hit St. John Hill at an altitude of 2,200 feet, 16km SE of Dubrovnik while attempting to land in poor weather conditions. U.S. Secretary of Commerce, Ron Brown, 55, killed. Crew error.  Failure of the crew to comply with directives that required a review of all instrument approach procedures, not approved by the Defense Dept. Preflight planning errors, combined with errors made during the flight by the crew. Rumors persist that the accident was a result of sabotage.",42.9744533,17.0218077
05/08/1997,21:28,"Huangtian, China",China Southern Airlines,3456,Chongqing - Shenzen,Boeing B-737-31B,B-2925,27288/2577,740.0,350,0.0,"The aircraft touched down hard, causing the nosegear to collapse. The pilot chose to to go-around. The aircraft climbed away but shortly after, the pilot declared an emergency and attempted to land on the runway in the opposite direction. The aircraft crashed on the runway, broke up and caught fire.The accident happened in poor weather with heavy rain associated with local thunderstorm activity.",29.7210903,118.6444046
12/11/1999,09:20,"Sao Jorge, Azores (Portugal)",SATA,530,Ponta Delgada - Horta,British Aerospace APT,CS-TGM,2030,350.0,350,0.0,"The plane crashed 30 minutes after leaving Ponta Delgada, Sao Miguel Island bound for Horta, Faial Island in the Azores. The plane lost contact with the Horta control tower 10 minutes before it was scheduled to land.  Witnesses said the plane was flying very low before they saw the plane crash into Mount Esperanca on the island of Sao Jorge.",38.64453055,-28.052794030066295
08/06/1949,,"Salasaca, Ecuador",Shell Co of Ecuador,,Mers Nueva - Ambato,Bristol 170 Freighter 21,HC-SBU,12739,340.0,340,0.0,The aircraft was part of relief efforts of the Ecuador earthquake.,-1.31756525,-78.5766164791466
11/24/1956,23:17,"Paris, France",Linee Aeree Italiane,,Rome - Paris -  Shannon - New York City,Douglas DC-6B,I-LEAD,45075,350.0,340,80.0,"Lost altitude on takeoff and crashed into a house. Failed to climb for reasons unknown. The aircraft's slight loss of altitude soon after take off was the main cause of the accident. There is no explanation for this loss of altitude. Orchestra and opera conductor Guido Cantelli, 36, among those killed.",48.8534951,2.3483915
04/08/1957,,"Algiers, Algeria",Air France,,,Douglas DC-3,F-BEIK,14411/25856,340.0,340,0.0,"Crashed just after takeoff, one mile from the airfield. Engine failure.",36.7753606,3.0601882
09/29/1959,23:09,"Buffalo, Texas",Braniff Airlines,542,Houston - Dallas,Lockheed 188A Electra,N9705C,1090,340.0,340,0.0,"In-flight separation of the left wing resulted in the aircraft crashing 3 miles southeast of Buffalo, Texas. A design flaw caused an oscillation known as  mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. One of two accidents with the same cause. See 3/17/1960.",31.4634891,-96.0641283
02/26/1960,,"Shannon, Ireland",Alitalia,,Shannon - New York City,Douglas DC-7C,I-DUVO,45231/945,520.0,340,0.0,Lost altitude shortly after taking off and crashed. Cause unknown.,53.1349614,-8.1611027
10/07/1961,02:00,"Mt. Canigou, France",Derby Aviation,,London - Perpignan,Douglas DC-3,G-AMSW,16171/32919,340.0,340,0.0,Crashed into Mt. Canigou while descending to land. Navigational error.,42.5477083,2.3894528188275315
06/23/1967,13:47,"Blossburg, Pennsylvania",Mohawk Airlines,40,Elmira - Washington DC,BAC One Eleven 204AF,N1116J,98,340.0,340,0.0,"The flight crashed after an in-flight fire destroyed the pitch control systems. Incorrect installation of a valve caused hot air to ignite hydraulifluid. The fire resulted from engine bleed air flowing back through the malfunctioning non-return valve and an open air delivery valve, through the auxiliary power unit in a reverse direction, and exiting into the plenum chamber at temperatures sufficiently high to cause the acoustics linings to ignite.",41.6795186,-77.0638567
08/27/1972,,"Canaima, Venezuela",Lineas Areas Venezolanas,,Canaima - C iudad,Douglas C-47-DL,YV-C-AKE,4705,340.0,340,0.0,The aircraft crashed while the crew was returning to the airport after experiencing a No.1 engine failure.,6.235794,-62.852937
04/14/1976,,"Neuquen, Argentina",Yacimientos Petroliferos Fiscales,,,Hawker Siddeley HS-748 2,LV-HHB,1540,340.0,340,0.0,Structural failure and in-flight separation of the right wing. Fatigue cracks attributed to stress due to design. These cracks became critical sooner than anticipated. The cracks remained undetected and became critical because the manufacturer's inspection program for the area was insufficiently.,-38.3695057,-69.832275
09/27/1977,,"Kuala Lumpur,  Malaysia",Japan Air Lines,715,Hong Kong - Kuala Lumpur,McDonnell Douglas DC-8-62H,JA-8051,46152/550,790.0,340,0.0,The aircraft struck a hill 4 miles short of the runway while on  a VOR approach during a thunderstorm. Crew error. Descended below MDA.,3.1516964,101.6942371
09/12/1980,20:58,"Off Freeport, Bahamas",Florida Commuter Airlines,,West Palm Beach - Freeport Grand Bahama Islands,Douglas DC-3,N75KW,4861,340.0,340,0.0,"The aircraft crashed into the AtlantiOcean about 3.5 nm SW of West End Settlement in low ceiling and thunderstorm activity. The cause was unable to be determined. Contributing factors include flight into thunderstorm activity, a malfunctioning pitot tube and improper supervision by airline management.",26.5355604,-78.7179877
10/19/1988,08:30,"Gauhati, India",Vayudoot,,Silchar - Gauhati,Fokker F-27 Friendship 100,VT-DMC,10173,340.0,340,0.0,Crashed short of the runway. Controlled flight into terrain.,26.1805978,91.753943
08/03/1989,13:43,"Samos, Greece",OlympiAviation,,Thessaloniki - Samos,Shorts 330-200,SX-BGE,SH-3083,340.0,340,0.0,Crashed into Mt. Kerkis in poor weather after deviating from course on approach. The crew was flying VFR in IFR conditons. The aircraft was named Isle of Minos.,37.72461615,26.819291891109838
02/01/1991,18:07,"LAX, Los Angeles, California",USAir / Skywest Airlilnes,1493/5569,Columbus - Los Angeles \  Los Angeles - Fresno,Boeing B-737-300 / Swearingen SA-227AC,N388US/N683AV,23310/1145 / AC-683,990.0,340,0.0,"The Skywest Metroliner was told to taxi into position for takeoff and hold. The ATC became preoccupied with another aircraft that departed the tower frequency. A Wings West aircraft reporting 'ready for takeoff', caused some confusion because the controller didn't have a flight progress strip in front of her. The strip appeared to have been misfiled at the clearance delivery position. The USAir, which was cleared to land, landed on top of the Metroliner. After the collision, both planes slid off the runway into an unoccupied fire station and burst into flames.The failure of the Los Angeles Air Traffifacility management to implement procedures that provided redundancy comparable to the requirements contained in the National Operational Position Standards and the failure of the FAA ATS to provide adequate policy direction and oversight to its ATC facility managers. These failures created an environment in the Los Angeles ATC tower that ultimately led to the failure of the  controller to maintain awareness of the traffisituation, culminating in the inappropriate clearances and the subsequent collision of the USAir and SkyWest aircraft. Twenty-two killed aboard the USAir and all 12 aboard the Metroliner.",33.94216754999999,-118.42135906141587
03/23/1991,11:37,"Navoi,  Uzbekistan",Uzbek Civil Aviation Administration,,Trashkent - Navoi,Antonov AN-24B,CCCP-46472,27307910,630.0,340,0.0,The aircraft overran the runway and crashed into concrete blocks.,42.0,64.0
09/15/1995,12:22,"Tawau,  Malaysia",Malaysia Airlines,2133,Kota Kinabalu - Tawau,Fokker 50,9M-MGH,20174,530.0,340,0.0,"Following a visual approach, the aircraft landed long and fast and overran the end of the runway into a shanty town while attempting a go-around.",4.2435206,117.885331
05/16/2001,13:15,"Malatya, Turkey",Military - Turkish Air Force,,Diyarbakir - Ankara,CASA CN-235M-10,,C-006,340.0,340,0.0,"The aircraft went into a steep dive from 17,000 feet and crashed into a field. Hydraulifailure caused by ice.",38.3488506,38.3189466
12/21/1948,,"Basalt Island, Hong Kong",China National Aviation Corporation,,Shanghai - Hong Konk,Douglas C-54B-5-DO,XT-104,18348,330.0,330,0.0,"Crashed on Balsalt Island  while attempting a visual approach through clouds. The pilot came down through a hole in the overcast but became trapped when the weather closed in. He reversed course but crashed into a small mountain. Pilot error. Quentin Roosevelt, son of Teddy Roosevelt killed.",22.3139519,114.36521487604794
06/23/1949,,"Off Bari, Italy",KLM Royal Dutch Airlines,,Batavia - Amsterdam,Lockheed 749-79-33 Constellation,PH-TER,2541,330.0,330,0.0,Crashed into Bari Harbor while en route from Cairo via Athens to Rome. Witnesses observed smoke from an engine followed by smoke from the other engines and fuselage prior to the crash. The plane broke-up in flight.,41.2038753,16.60138
07/12/1951,,"Aracaju, Brazil",Loide Aereo Nacional,,Maceio - Aracaju,Douglas DC-3,PP-LPG,14822/26267,330.0,330,0.0,Crashed during a landing attempt in adverse weather conditions under VFR and hit high ground. The pilot attempted a visual approach and made a turn at low altitude in adverse weather conditions.,-10.9162061,-37.0774655
03/13/1954,,"Kallang Airport, Singapore",British Overseas Airways,,Australia - London,Lockheed 749A-79-33 Constellation,G-ALAM,2554,400.0,330,0.0,"Crashed short of the runway, hit a wall, overturned and caught fire. Improper procedures used in landing.  Pilot fatigue.",1.3074089500000001,103.87358623307097
11/23/1960,18:45,"Manila, Philippines",Philippine Air Lines,26,Iloilo - Manila,Douglas DC-3,PI-C133,,330.0,330,0.0,Crashed into Mt. Baco while en route. Navigational error under adverse weather conditions.,14.5906346,120.9799964
12/19/1962,19:30,"Warsaw, Poland",LOT Polish Airlines,,Berlin - Warsaw,Vickers Viscount 804,SP-LVB,395,330.0,330,0.0,Stalled and crashed 8 miles from the threshold after being struck by lightning.,52.2319581,21.0067249
07/26/1969,,"Biskra, Algeria",Air Algerie,,Paris - Hassi Messaoud,Sud Aviation SE-210 Caravelle 6N,7T-VAK,073/73,370.0,330,0.0,Crash landed while attempting an emergency landing after a fire in an electrical panel led to a cabin fire.,34.784563500000004,5.812435334419206
09/18/1981,,"Zeleznogorsk, Russian",Aeroflot /Military - Russian,,,Yakovlev YAK-40 / Mil Mi-8,CCCP-87455,9431236,330.0,330,0.0,Midair collision with a military Mi-8 helicopter.,52.3287909,35.376691
10/17/1988,00:30,"Rome, Italy",Uganda Airlines,775,London - Rome,Boeing B-707-338C,5X-UBC,19630/746,520.0,330,0.0,"Undershot runway and hit  a building while performing a third landing attempt in fog. The crew's lack of adequate preparation in the procedure for a non-precision approach, especially in crew coordination, altitude callouts and their continued descent beyond MDA without having located the runway visual markings. Crew fatigue.",41.8933203,12.4829321
12/10/1946,,"Toledo, Washington",Military - U.S. Marine Corps,,"Miramar NAS, California - Sand Point NB, Seattle",Curtiss-Wright R5C-1,39528,,320.0,320,0.0,"The crew reported picking up ice before disappearing without a trace while en route. The last reported positon was 30 miles south of Toledo, Washington. Found 11 months later at Mt. Rainer.",46.4401007,-122.8467555
07/04/1948,,"Northolt, Middlesex, England",Scandinavian Airlines (SAS),,,Douglas DC-6 / RAF York MW248,SE-BDA,43119/111,320.0,320,0.0,"A midair collision occurred between a SAS DC-6 and a Royal Air Force Avro York MW248. Thirty-two killed on the DC-6, seven on the York.  ATC error.",51.5484582,-0.3695247
06/24/1956,17:25,"Kano, Nigeria",British Overseas Airways,,Kano - Tripoli,Canadair C-4 Argonaut,G-ALHE,151,450.0,320,0.0,Crashed shortly after taking off from Kano Airport. Flew into a thunderstorm.  Microburst windshear.,11.8948389,8.5364136
04/07/1958,09:00,"Mt. Illiniza, Ecuador",AREA,222,Guayaquil - Quito,Douglas DC-3,HC-ACL,19779,320.0,320,0.0,Flew into a mountain 15 minutes after leaving Guayaquil. Procedural error. The pilot did not maintain IFR until clear of the cloud cover.,-2.8920551,-78.9806079
08/19/1959,,"Near Barcelona, Spain",Transair,,Barcelona - London,Douglas DC-3,G-AMZD,16112/3286,320.0,320,0.0,"Nineteen minutes after taking off and while climbing, the aircraft entered a cloud and struck Mt. Monseny. Pilot did not follow prescribed regulations.",41.4015643,2.1746865
10/09/1964,,"Near Sibiu, Romania",Tarom,,,Ilyushin IL-14,YR-ILB,146000926,320.0,320,0.0,Crashed into mountains 60 miles west of Sibu.,45.6771866,23.9918417
11/10/1965,,"Murmansk, Russia",Aeroflot,,,Tupolev TU-124,CCCP-45086,5351801,320.0,320,0.0,Crashed during approach.,68.970665,33.07497
12/07/1965,18:40,"Tenerife, Canary Islands",Spantax,,"Tenerife - Manchester, England",Douglas DC-3,EC-ARZ,13474,320.0,320,0.0,Crashed into high terrain shortly after takeoff. Cause undetermined. Mechanical failure suspected.,28.2935785,-16.621447121144122
10/25/1968,17:17,"Hanover, New Hampshire",Northeast Airlines,946,"Boston, MA - Montpelier, VT - Lebanon, NH",Fairchild-Hiller FH227C,N380NE,517,420.0,320,0.0,The aircraft crashed into Moose Mountain during an approach. Execution of a non-standard approach.  Premature descent. The crew was not able to determine accurately its position because they had performed a non-standard instrument approach and there were no supplement navigational aids available for their use.,43.703622,-72.288666
01/13/1970,06:00,"Faleolo, Western Samoa",Polynesian Airlines,208B,"Apia, Western Samoa - Pago Pago, American Samoa",Douglas DC-3,5W-FAC,16964,320.0,320,0.0,"Crashed into a lagoon 400 yards past the end of the runway, seconds after taking off after the plane pitched up and stalled. Windshear, precipitation and turbulence.",-13.83077365,-172.00829609835512
08/28/1971,,"Off Copenhagen, Denmark",Malev Hungarian Airlines,,"Oslo, Norway - East Berlin, German",Ilyushin IL-18D,HA-MOC,181992903,340.0,320,0.0,Disappeard from radar while eight miles short of the runway and crashed into the sea while on approach. Crew error. Crew flew below prescribed minimum altitiude.,55.6823976,12.4836806
09/28/1971,,"Sena Madureira, Brazil",Cruzeiro,,Cruzerio do Sul - Rio Branco,Douglas DC-3,PP-CBV,4977,320.0,320,0.0,The aircraft tried to return to the airport after an engine fire but the right wing struck trees and it crashed in the Amazon jungle.,-9.0659556,-68.6571058
02/28/1973,,"Semipalatinsk, Kazakhstan",Aeroflot,,,Yakovlev YAK-40,CCCP-87602,9120118,320.0,320,0.0,Crashed on takeoff.,50.404377,80.2496637
02/03/1975,23:10,"Manila, Philippines",Philippine Air Lines,,Manila - Iligan,Hawker Siddeley HS-748 2,RP-C1028,1590,330.0,320,0.0,The No. 2 engine caught fire shortly after takeoff.  The aircraft crashed into a rice field 3 miles short of the runway while making an emergency approach back to the airport.,14.5906346,120.9799964
10/25/1976,07:20,"El Yopal, Colombia",Taxi Aereo el Venado,,Villavicencio - Cucuta,Douglas C-47DL,HK-149,4593,320.0,320,0.0,The No. 1 engine failed and the plane crashed and burned when the left wing dropped and touched the runway.,5.3356662,-72.3936931
09/25/1996,16:37,"Waddenzee, Netherlands",Dutch Dakota Association,,Texel - Amsterdam,Douglas DC-3C,PH-DDA,19109,320.0,320,0.0,"Shortly after takeoff from Texel, a connecting rod bearing in the No.1 engine failed. The prop was feathered.  Soon after, a part of the feathering mechanism failed and the prop started windmilling causing drag. The aircraft rapidly descended and crashed onto a mud-flat. The accident was initiated by a combined failure of the left engine and the left feathering system. The accident became inevitable when the flight crew allowed the speed to decrease below stall speed and lost control of the aircraft at an altitude from which recovery was not possible.",53.23227915,5.185228651760729
06/10/2008,20:45,"Khartoum, Sudan",Sudan Airways,548,"Aman, Jordan - Damascus, Syria - Khartoum, Sudan",Airbus A-310-324,ST-ATN,548,2140.0,320,0.0,"While landing in poor weather, the plane skidded off the runway, hit navigation poles and burst into flames. The plane had flown from Amman via Damascus but been turned back once from Khartoum and forced to land in Port Sudan, on the Red Sea, because of bad weather, before being allowed to return to Khartoum.",15.5635972,32.5349123
12/19/1943,09:20,"Canal Creek, Australia",Military - U.S. Air Force,,,Douglas C-47A-60-DL,43-30742,13893,310.0,310,0.0,,-22.947057,150.4260131367603
05/09/1945,01:30,"Roye, France",Military -Royal Air Force,,England - Brussels,Avro Lancaster,RF230,,310.0,310,0.0,The aircraft went in to a spin and crashed in a wooded area and caught fire.,49.6986186,2.7930755
10/13/1945,20:45,"Melsbroek, Belgium",Military -Royal Air Force,,Belgium - India,Consolidated LB-30-A Liberator,KL595,,310.0,310,0.0,The aircraft failed to gain speed or altitude and struck a hill at the end of the runway.,50.9170725,4.4758811
05/04/1949,17:04,"Superga, Italy",Avio Linee Italiane,,Barcelona - Torino,FIAT G-212CP,I-ELCE,5,310.0,310,0.0,"The aircraft was returning on a flight from Lisboa to Milan with the Torino Soccer Team when the crew decided to land directly at Turin, homebase to the team. In low visibility, rain and thunderstorms, the left wing of the plane struck a wall surrounding the sanctuary of Superga, a mountain near Turin. The aircraft then pivoted, and disintegrated next to the sanctuary killing all aboard.  Error in navigation and poor visiblity.",45.0805149,7.7670995
