Date;Time;Location;Operator;Flight;Route;Type;Registration;cn/In;Aboard;Fatalities;Ground;Summary;Latitude;Longitude
09/03/1968;21:25:00;Near Burgas, Bulgaria;Bulair TABSO;;;Ilyushin IL-18;LZ-BEG;187009101;8900;470;0;Crashed on approach descending into the ground short of the runway. Deviation from the prescribed flight rules to accomplish a visual approach in adverse weather conditions.;419823535;274929211
02/21/1970;13:34:00;Zurich, Switzerland;Swissair;330;Zurich - Tel Aviv;Convair CV-990-30A-6;HB-ICD;301015;4700;470;0;About 9 minutes after taking off, the crew reported trouble with the aircraft's cabin pressure and radioed they were returning to the airport. The crew reported they suspected an explosion in the aft cargo hold. While returning to the airport the crew lost navigational instruments and electrical power. The cockpit filled with smoke and the plane crashed into a forest. Detonation of an explosive device in the rear section of the passenger cabin shortly after takeoff. A bomb with an altimeter trigger was believed to have been placed in a package mailed to an Israeli address by Palestinian extremists.;473744489;85410422
11/27/1970;17:05:00;Anchorage, Alaska;Capital Airlines;26;Anchorage - Yokota AFB;McDonnell Douglas DC-8-63CF;N4909C;46060/472;22900;470;0;The military charter overran the runway during takeoff, hit the ILS localizer support structure and burst into flames. The lack of acceleration, undetected by the crew  until after V1 speed was reached caused by the main landing gear wheels remaining locked after power was applied for takeoff on the icy runway due to brake or hydraulifailure.;611758781;-1491107333
02/22/1991;;Cazombo, Angola;Fuerza Area Angolaise;;;Antonov AN-26;;;4700;470;0;Shot down by surface-to-air missile launced by UNITA rebels.;-118981934;229061022
01/16/1983;;Ankara, Turkey;Turkish Airlines (THY);;Istanbul - Ankara;Boeing B-727-2F2;TC-JBR;21603/1389;6700;470;0;The flight originated in West Germany and stopped in Istanbul before beginning a 40-minute flight to Ankara's Esenboga Airport. The aircraft crashed short of the runway in fog, snow and poor visibility. Windshear.;397160439;327059948
01/08/1989;20:25:00;Leicestershire, England;British Midland Airways;92;London - Belfast;Boeing B-737-4Y0;G-OBME;23867/1603;12600;470;0;While en route and climbing through FL 280, a vibration was felt and the smell of smoke was detected.  A fan blade on the No. 1 engine detached and caused a compressor stall and vibration of the aircraft. The crew throttled back the No. 2 engine and the vibration stopped. Soon after it was decided to shut down the No. 2 engine. While attempting to land, power was lost in the No. 1 engine, the aircraft stalled and crashed into trees 3,000 ft. short of the runway. The crew mistakenly shut down the wrong engine, lost power in the disabled engine and was unable to maintain flight in the final approach.;52666667;-00010
06/06/1992;;Tucuti, Panama;COPA (Panama);201;Panama City, Panama - Cali, Colombia;Boeing B-737-204;HP-1205;22059/631;4700;470;0;Twenty minutes after leaving Panama, the aircraft changed course to miss an area of thunderstorms. It then went into uncontrolled high speed dive and broke up at FL 100. Non-synchronization of artificial horizons.  Malfunctioning attitude indicator. Both attitude indicators functioning off the same gyro. Crew neglected to perform a cross check. Pilot came out of a left bank and continued into a right bank that eventually rolled the aircraft and caused it to go into a steep dive from which recovery was not possible.;7960166;-779327921
08/24/1921;17:40:00;River Humber, England;Military - Royal Airship Works;;;Royal Airship Works ZR-2 (airship);R-38;R-38;4600;460;100;Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.;536542257;-1971576
06/12/1950;21:52:00;Off Bahrain;Air France;;Saigon - Paris;Douglas DC-4-1009;F-BBDE;42937;5200;460;0;While making a final approach for Bahrain, the aircraft crashed into the sea. The pilot did not keep a accurate check of his altitude and rate of descent during the approach. Crew error, possibly due to fatigue.  An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots.;261961051;504915963
09/10/1952;;San Blas, Panama;SAM Colombia;;;Curtiss C-46;;;4600;460;0;;9187597500000000;-7787137226376690
02/14/1953;17:10:00;Off Mobile, Alabama;National Airlines;470;Miami - Orlando - New Orleans;Douglas DC-6;N90893;43057/73;4600;460;0;The aircraft crashed into the Gulf of Mexico off Mobile, Alabama. The aircraft broke up in the turbulence of a 'frontal wave' storm after failure of  the left wing. The loss of control followed by the in-flight failure and separation of portions of the airframe structure while the aircraft was traversing an intense frontal-wave type storm of extremely severe turbulence, the severity and location of which the pilot had not been fully informed.;30409813;-88271784
01/28/1966;17:50:00;Bremen, Germany;Lufthansa;5;Frankfurt - Bremen;Convair CV-440-0;D-ACAT;464;4600;460;0;Crashed on approach in heavy fog. The aircraft stalled while making a turn at low altitude. Instrument malfunction.;530758196;88071646
12/09/1982;13:27:00;La Serena, Chile;Aeronor Chile;304;Santiago - La Serena;Fairchild F-27J;CC-CJE;63;4600;460;0;While on approach, the aircraft suddenly banked to the left and went into a steep descent and crashed.  Inadequate flight procedures by the pilot in command after experiencing a loss of power in the left engine.  Inadequate flight planning by the pilot-in-command in coordinating the adoption of measures and applying procedures to successfully remedy a stall condition caused by total loss of power in the left engine when the aircraft was flying at low altitude on final approach to land.;-29902631;-712520253
11/14/1990;19:11:00;Stadelberg, Switzerland;Alitalia;404;Milano - Zürich;McDonnell Douglas DC-9-32;I-ATJA;47641/746;4600;460;0;The aircraft continued to descend after intercepting the glide slope and hit high ground 6 miles from the airport. False indication of VHF NAV on unit No.1 in the aircraft. Possible misread altimeter by the pilot-in-command. Lack of GPWS warning in the cockpit. Crew was not aware of the possibility of incorrect indications in the NAV equipment in use. Non-compliance with basiprocedural instructions during the approach. ATC  did not observe the leaving of the cleared altitude of 4,000 ft.;474007479;8956141
04/16/1992;;Nairobi, Kenya;Military - Kenyan Air Force;;;de Havilland DHC-5 Buffalo;218;125;4600;460;600;The left engine failed while taking off from Eastleigh Air Base. The pilot attempted to return but poor visibility caused him to overshoot the runway. He tried to realign himself but stalled and crashed to the ground.;-13026148500000000;368288420082562
02/21/2008;17:00:00;Merida, Venezuela;Santa Barbara Airlines;518;Merida - Caracas;ATR-42-300;YV-1449;28;4600;460;0;Struck a mountain at 13,500 feet and disintegrated shortly after departing Merida.;85816963;-711658075
07/12/1949;03:50:00;Near Bombay, India;KLM Royal Dutch Airlines;;Delhi - Bombay;Lockheed L-749-79-33 Constellation;PH-TDF;2558;4500;450;0;While circling in a blinding monsoon rainstorm, the aircraft crashed into 674 ft. high Ghatkopar hill, 3 miles ENE of the airport. Crew error. Pilots decision to land in weather below prescribed minimums in an area he was not familiar with.;22283241500000000;7079996897991070
12/29/1954;;Near Moscow, Russia;Aeroflot;;;;;;4500;450;0;;55758285650000000;3760436886144640
11/01/1961;02:15:00;Near Recife, Brazil;Panair do Brasil;;Lisbon - Ilha do Sal - Recife;Douglas DC-7C;PP-PDO;44872;4500;450;0;The flight crashed into a hill during approach. Pilot error. Improper evaluation of distance, flying a non-standard traffipattern by night and failing to observe altitude minima during the final approach.;-7560521850000000;-350124608305277
03/28/1964;22:39:00;Mt. Vesuvius, Italy;Alitalia;45;Rome - Napoli;Vickers Viscount 785D;I-LAKE;328;4500;450;0;The plane crashed during  final approach. Failure to discontinue visual approach in the absence of minimum visibility conditions required for the type of maneuvers involved. Abnormally wide initiation of down wind leg which brought the aircraft along an unsafe path in relation to the terrain in the area.;408213963;144261967
04/16/1969;;Kinshasa, Zaire;Wigmo;;Kinshasa - Luluaburg;Curtiss C-46;;;4500;450;0;The plane developed landing gear trouble while attempting to land at Luluaburg. The pilot chose to return to Kinshasa. He was circling to use up fuel when the accident occurred. The plane crashed into the Congo River. Leased to the Congolese Air Force.;-43196982;153424196
04/01/1970;;Novosibirsk, Russia;Aeroflot;;;Antonov AN-24V;CCCP-47751;79901204;4500;450;0;The aircraft crashed after colliding with a balloon.;5496781445;8295159894278380
01/18/1971;15:49:00;Zurich, Switzerland;Balkan Bulgarian Airlines;LZ130;Paris - Zurich - Sofia;Ilyushin IL-18;LZ-BED;186009002;4700;450;0;The crew decided while on the ground at Paris not to stop at Zurich but later, while in flight, changed their minds when they received reports of improving weather. The plane crashed during the approach to Zurich after drifting to the right and below the glide path. The left wing tip and landing gear struck the ground first.;473744489;85410422
06/04/1976;14:48:00;Agana, Guam;Air Manila;702;Wake Island - Guam - Manila;Lockheed 188A Electra;RP-C1061;1007;4500;450;100;The No. 3 engine failed during the takeoff roll as the plane left Agana Naval Air Station. The aircraft began to rise but struck terrain and exploded in flames. The loss of climb capability after the crew retracted the flaps at too low an altitude to clear the rising terrain. The flaps were retracted after the No. 3 propeller feathered as the aircraft lifted off the runway. A driver in an automobile struck by the aircraft was killed.;134727446;14475201822544300
08/04/1979;;Near Panvel, India;Indian Airlines;;Bombay - Pune;Hindustan Aeronautics 748 2-224;VT-DXJ;515;4500;450;0;Crashed into the Kiroli Hills while on approach to Bombay at night. Momentary/intermittent loss of electrical contact in the G/S system of aircraft which gave the pilot an erroneous impression of the interception of the glide slope.;886801065;7667380151512070
06/21/1987;;Heho, Burma;Burma Airways;;Heho - Mong Hsat;Fokker F-27 Friendship 200;XY-ADP;10357;4500;450;0;Crashed into mountains at 8,200 ft. 20 minutes after leaving Heho.;207187712;968269218
03/05/1991;16:15:00;La Puerta, Venezuela;Linea Aeropostal Venezolana;108;Maracaibo - Santa Barbara de Zulia;McDonnell Douglas DC-9-32;YV-23C;47720/846;4500;450;0;The aircraft crashed into the Las Torres plateau in the Andes mountains on a flight from Maracaibo to Santa Barbara de Zulia. The mountain was shrouded in clouds. Controlled flight into terrain. The point of impact was considerably off course.;91262137;-707110746
07/10/2006;12:05:00;Multan, Pakistan;Pakistan International Airlines;688;Multan - Lahore;Fokker F-27 Friendship 200;AP-BAL;10243;4500;450;0;The plane lost an engine during take off, struck power lines and crashed into a wheat field bursting into flames.;30197838;714719683
11/11/1945;;Himalayas;Military - U.S. Army;;Chabau, India - Karachi, Pakistan;Douglas C-54;;;4400;440;0;Crashed into a mountain ridge 200 ft. short of the summit, bounced over the top and crashed down the other side while  en route.;27985688;869163367
03/22/1952;10:45:00;Frankfurt, Germany;KLM Royal Dutch Airlines;;Rome - Frankfort;Douglas DC-6;PH-TPJ;43111/102;4700;440;0;Crashed and burst into flames two miles short of the runway in rain and fog during the approach. Cause unknown. The aircraft was named 'Koningin Juliana.';501106444;86820917
11/14/1952;14:45:00;Near Seoul, South Korea;Military - U.S. Air Force;;;Fairchild C-119C;51-2551A;;4400;440;0;Struck a mountain at an elevation of 2,000 ft. as it prepared to land at U.S. military base K-16. The mountains were obscured by low clouds.;376557768;1270717475
10/14/1953;;Frankfurt, Germany;Sabena;;Frankfurt - Brussels;Convair CV-240-12;OO-AWQ;154;4400;440;0;Loss of engine power on takeoff. The loss of power may possibly be attributed to the heavy deposit of lead on the spark plugs.;501106444;86820917
11/01/1955;19:03:00;Longmont, Colorado;United Air Lines;629;Denver - Portland;Douglas DC-6B;N37559;43538;4400;440;0;The aircraft crashed 11 minutes after taking off from Denver Stapleton Airport, 8 miles east of Longmont.  Detonation of a dynamite bomb in the No. 4 cargo hold, placed by John (Jack) Gilbert Graham in his mother's luggage in order to collect $37,500 in insurance.  A delayed flight caused the bomb to detonate over flat land rather than the mountains as planned.  Graham never showed any remorse for his actions and refused to file any appeals. He was executed for the crime on 1/11/56.;401672117;-105101928
05/07/1964;06:49:00;San Ramon, California;PacifiAir Lines;773;Stockton - San Fransisco;Fairchild F-27A;N2770R;36;4400;440;0;The aircraft went into a steep dive and crashed 26 miles from it destinatiion of San Francisco Internatiional Airport. The last message which had to be obtained through laboratory analysis was 'Skipper's shot.  We've been shot.  I was trying to help.'  Francisco Gonzales, a passenger, who had told several people he was going to kill himself, shot both the pilot and co-pilot. Gonzales, 27, a former member of the Philippine yachting team at the 1960 Olympics, had purchased life insurance policies totaling $105,000 prior to the flight.;377648021;-1219544387
12/30/1967;08:28:00;Liepaja, Latvia;Aeroflot;;Riga - Liepaja;Antonov AN-24;CCCP-46215;67302909;5100;440;0;The aircraft crashed during a go-around after a failed landing attempt.;565048435;210070903
04/21/1969;14:59:00;Khulna, Bangladesh;Indian Airlines;;Silchar, India - Khulna, Bangladesh;Fokker F-27 Friendship 100;VT-DOJ;10214;4400;440;0;The aircraft crashed in adverse weather conditions. Windshear. The crew tried to fly through thunderstorms at a low level but lost control in severe downdrafts.;229372087;892852741
01/22/1973;01:00:00;Perm, Russia;Aeroflot;;;Antonov An-24B;CCCP-46276;77303609;4400;440;0;The plane went into a spiral dive. As the crew tried to pull the plane out it broke up due to excesss g loads. Four survived the crash as the plane landed in a blanket of snow but succumbed to the cold before they could be rescued.;58014965;56246723
04/27/1980;06:55:00;Don Muang, Thailand;Thai Airways;231;Khon Kaen - Bangkok;Hawker Siddeley HS-748-2;HS-THB;1568;5300;440;0;The aircraft entered a thunderstorm, was caught in a downdraft and struck the ground 8 nm northeast of Bangkok International Airport. The pilot directed the aircraft into a thunderstorm in an early dissipating stage.  The aircraft was severely affected by a downdraft and lost altitude rapidly. At that time, the altitude of the aircraft was 1,500 ft. and the pilot could not maintain altitude. Procedural error by the pilot. Was not tuned to weather warning, did not use his weather radar and flew into an area of severe weather.;173770586;1046388865
06/12/1982;;Tabatinga, Brazil;TABA;;Eirunepe - Tabatinga;Fairchild-Hiller FH-227B-LCD;PT-LBV;536;4400;440;0;The plane crashed into the tower during an approach in adverse weather conditions.;-217373768;-486880522
12/24/1983;;Leshukonskoye, Russia;Aeroflot;;Arkhangelsk - Leshukonskoye;Antonov AN-24;CCCP-46617;37308704;4900;440;0;The airliner crashed on approach in adverse weather. Instead of a go-around the pilot put the plane in a tight turn to the right with a high slip angle, leading to a loss of airspeed. After descending through decision height the pilot attempted a go-around but the plane rolled to the left and lost altitude. After the bank angle reached 90 degrees the aircraft crashed short of  the runway.;64902481;45767242
06/22/2000;15:16:00;Shitai, China;Wuhan Airlines;343;Enshi - Wuhan;Xian Yunshuji Y-7-100C;B-3479;6708;4400;440;700;The plane was attempting to land at Whuan's Wanjiatun Airport in thunderstorms and heavy rain when it was struck by lightning causing it to explode and crash. Half of the plane crashed into a farmhouse and the other half crashed near a dike on the Hanjiang River near the village of Shitai, 15 miles from Wuhan. Seven people aboard a boat on the southern bank of the river were killed when they were swept into the river by the impact of the crash.;302126545;1174805614
09/11/2001;10:03:00;Shanksville, Pennsylvania;United Air Lines;93;Newark - San Francisco;Boeing B-757-222;N591UA;28142/718;4400;440;0;The aircraft was hijacked after taking off from Newark International Airport. The hijackers took control of the aircraft and turned the plane towards Washington D.C.  A struggle ensued between the passengers and hijackers after which the plane crashed at a high rate of speed into a field in the Pennsylvania countryside. It was one of four planes that were hijacked the same day.;400175017;-789071878
05/29/1947;19:05:00;La Guardia Airport, Queens, New York;United Air Lines;521;New York City - Cleveland;Douglas C-54B;NC30046;18324;4800;430;0;The aircraft overran the runway during an attempted takeoff, crashed and caught fire. Either the failure of the pilot to release the gust lock before take-off or his decision to discontinue the take-off because of apprehension resulting from rapid use of a short runway under a possible calm wind condition.;407757145;-7387336398511540
06/17/1948;12:41:00;Mount Carmel, Pennsylvania;United Air Lines;624;Chicago - New York City;Douglas DC-6;NC37506;42871/12;4300;430;0;The plane crashed after an in-flight fire in cargo hold. The crew discharged carbon dioxide extinguishers into the cargo hold in response to the fire warning. When the plane's nose was lowered for an emergency descent, the carbon dioxide, being heavier than air, accumulated in the cockpit and asphyxiated the crew.  The aircraft crashed through high voltage lines and exploded on a hillside. After the crashes of 10/24/47 and 11/11/47, were a design flaw allowed vented fuel to enter the intake for the cabin heating system, the CAA also ordered carbon dioxide extinguishers installed. Earl Carroll,  U.S. theatrical impresario killed. Douglas aircraft company knew of the carbon dioxide danger after two of its test pilots were almost overcome during test flights. They suppressed reports to the CAA which resulted in only a warning being added to the flight manual. The aircraft was named Mainliner Utah.;407968393;-764131097
04/25/1951;11:49:00;Key West, Florida;Cubana de Aviacion / Military -  US Navy;493;Miami - Havana;Douglas DC-4 /Beechcraft SMB-1;CU-T188/39939;10368;4300;430;0;The plane, on a flight from Miami to Cuba, collided with a US Navy Beechcraft at 4,000 feet. Thirty-nine killed on the DC-4, four killed on the Beechcraft.  Failure of both crews to maintain sufficient vigilance under VFR conditions to prevent a collision.;245625566;-817724368
11/11/1965;17:52:00;Salt Lake City, Utah;United Air Lines;227;Denver - Salt Lake City;Boeing B-727-22;N7030U;18322/130;9100;430;0;The aircraft crashed short of the runway and collided with runway lights, 335 feet short of the runway, causing the main landing gear to fail followed by a fire. Too high of a descent rate during approach. Failure of the captain to take  timely action to arrest an excessive descent rate during the landing approach. Excessive sink rate is thought to have caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected. Bill Linderman, 45, champion rodeo cowboy killled.;407596198;-111886797
10/02/1970;14:07:00;Near Taipei, Taiwan;Military - U.S. Air Force;;Taipei - Ching Chuan Kang;Lockheed C-130E;64-0536;4025;4300;430;0;The aircraft struck a mountain ridge 6 minutes after taking off from Taipei. Deviation off course while flying  IFR in zero visibility.;2502778;1214689366
04/18/1972;09:39:00;Addis Ababa, Ethiopia;East African Airways;720;Addis Ababa - Rome;BAC Super VC-10 1154;5X-UVA;881;10700;430;0;The aircraft broke-up after overrunning the runway and an aborted takeoff. Partial loss of braking power due to the incorrect reassembly and repairs of the braking system.;90358451;387524066
12/08/1972;14:28:00;Chicago, Midway Airport, Illinois;United Air Lines;553;Washington - Chicago;Boeing B-737-222;N9031U;19069/75;6100;430;200;The aircraft crashed while making a nonprecision instrument approach to Runway 31L. The accident occurred in a residential area approximately 1.5 miles southeast of the approach end of Runway 31L. Upon reaching mimimum descent altitude, the pilot raised the nose of the aircraft to stop the descent. The stall warning horn sounded and continued to sound until the plane crashed 17 seconds later. The aircraft was destroyed by impact and subsequent fire. The captain's failure to exercise positive flight management during the execution of a non-precision approach, which culminated in a critical deterioration of airspeed resulting in a stall from which level flight could no longer be maintained. U.S. Representative from Illinois George Collins killed. Wife of  Watergates E. Howard Hunt, Dorothy Hunt, also killed.;417854316;-8775084869357150
01/24/1980;06:20:00;Near Mandalay, Burma;Military - Union of Burma Air Force;;Mandalay - Rangoon;Fairchild FH-227H;5003;545;4400;430;0;Crashed into a building while attempting an emergency landing following the loss of one engine.;219531956;961050809
12/07/1987;16:16:00;San Luis Obispo, California;PacifiSouthwest Airlines;1771;Los Angeles - San Fransisco;British Aerospace BAe-146-200A;N350PS;E-2027;4300;430;0;A fired USAir employee, David Burke, after leaving a goodbye message to friends, shot both pilots with a .44 Magnum pistol. While the aircraft was cruising at 22,000 feet over the central California coast, the cockpit crew heard two shots in the passenger cabin and radioed a frantimessage to air trafficontrollers: 'There’s gunfire aboard.' Moments later, the plane entered a high-speed nosedive and smashed onto the ground at 700 mph. Investigators sifting through the wreckage were able to retrieve the plane’s cockpit voice recorder, which subsequently revealed the sounds of a commotion in the cockpit, three more shots, the groan of the pilot or co-pilot, and then a final shot.;353540209;-1203757163
02/10/2004;11:40:00;Sharjah, United Arab Emirates;Kish Airlines;1770;Kish Island - Sharjah;Fokker F-50;EP-LCA;20273;4600;430;0;The aircraft crashed on approach, 2 miles short of the runway while attempting an emergency landing at Sharjah. The plane crashed midway between two residential compounds. The flight data recorder showed that the two engines went into reverse 10 seconds before the accident.;252311534;5421900831355920
11/16/1959;00:55:00;Gulf of Mexico;National Airlines;967;Tampa - New Orleans;Douglas DC-7B;N4891C;45355;4200;420;0;The aircraft crashed into the Gulf of Mexico at 29 degrees 13 minutes N, 88 degrees 40 minutes W or about 108 miles east-southeast of New Orleans, while on a flight from Tampa to New Orleans. Sabotage (explosion of a bomb aboard) was strongly suspected but could never be proven due to lack of physical evidence.  There is a possibility that there is a connection between this crash and the National Airlines crash of January 6, 1960. No one was charged in either case.;252834459;-899066163
01/19/1960;18:47:00;Ankara, Turkey;Scandinavian Airlines (SAS);871;Istanbul - Ankara;Sud Aviation Caravelle 1;OY-KRB;014/14;4200;420;0;While on a flight from Istanbul to Ankara, Turkey the aircraft crashed while on approach to Esenboga Airport, 6 nm short of the runway. The aircraft struck the ground at an elevation of 3,500 ft, between the Ankara mountain range and the airport. An unintentional descent below the authorized minimum flight altitude during final approach to Esenboga Airport for reasons that could not be determined. The aircraft was named Orm Viking.;397160439;327059948
08/27/1973;12:45:00;Bogota, Colombia;Aerovias Brasil;;Bogota - Cartagena;Lockheed L-188A Electra;HK-777;1115;4200;420;0;Crashed into El Cable Mountain after taking off in fog.;46529539;-740835643
01/30/1975;;Istanbul, Turkey;Turkish Airlines (THY);;Izmir - Istanbul;Fokker F-28 Fellowship 1000;TC-JAP;11058;4200;420;0;After an electrical failure at the airport the aircraft initiated a go-around. Because another aircraft was about to take off, an extended downwind leg was flown. The aircraft crashed into the Sea of  Marmara while in the process of making the second approach.;410091982;289662187
02/11/1978;12:55:00;Cranbrook, British Columbia, Canada;PacifiWestern Airlines;314;Calgary - Cranbrook;Boeing B-737-275;C-FPWC;20142/253;4900;420;0;The aircraft touched down just as the crew noticed a snow plow on the runway. A go-around was initiated but the thrust reverses did not stow away properly because hydraulipower was automatically cut off at lift-off.  The aircraft missed the plow, overran the runway, crashed and burned. Estimated time of arrival given by Calgary ATC in error. Crew did not report over its final approach beacon.;495107477;-1157672772
12/08/1987;;Off Lima, Peru;Military - Peruvian Naval Aviation;;Pucallpa - Lima;Fokker F-27 Friendship 400M;AE-560;10548;4300;420;0;The plane was observed during a fly-by to check that the landing gear was down. After attempting another approach the aircraft crashed into the sea. All members of the Alianza Lima soccer team killed. The pilots' lack of experience flying at night and misreading the manual for procedures in emergency situations.;-12066430100000000;-7696862914898370
10/07/1988;;Linfen, China;Shanxi Airlines;;Sightseeing;Ilyushin IL-14P;B-4218;6341406;4600;420;0;The sightseeing  plane crashed into a hotel shortly after takeoff.;36229963;111381767
07/06/1965;16:00:00;Near Oxford, England;Military -Royal Air Force;;;Handley Page Hastings C Mark 1;TG577;;4100;410;0;The plane, carrying paratroopers, climbed to 2,000 ft., made a left turn and crashed. Fatigue fracture of 2 bolts that attached the elevator to the horizontal stabilizer resulted in an abnormal pitch-up attitude and stall.;517636557;-12191557
12/23/1979;;Ankara, Turkey;Turkish Airlines (THY);;Ankara - Samsun;Fokker F-28 Fellowship 1000;TC-JAT;11071;4500;410;0;Crashed into Cubuk Hill in fog, two minutes away from landing at the airport.  In-flight structural failure due to severe turbulence. The aircraft was named 'Trabzon.';397160439;327059948
05/29/1947;22:45:00;Atsugi, Japan;Military - U.S. Army Air Forces;;;Douglas C-54D-DC (DC-4);42-72553;10658;4000;400;0;Turned the wrong way while attempting to land and slammed into a mountain, bursting into flames.;35464797;139323536
10/20/1948;23:32:00;Prestwick Airport, Scotland;KLM Royal Dutch Airlines;;Amsterdam - Prestwick - New York City;Lockheed 049-46-25 Constellation;PH-TEN;2083;4000;400;0;The aircraft was on a flight from Amsterdam to New York with a stopover at Prestwick Scotland. The aircraft attempted to land on Runway 32 but the crew choose to go-around due to strong cross winds and asked to land on Runway 26.  While circling to line up with the runway, the aircraft ran into a heavy fog bank and crashed into high voltage power lines at an elevation of 400 feet and burst into flames. The crashed occurred 5 miles east-northeast of the airport. Improper flight procedures by the crew. Lack of information supplied to the crew by the tower. The aircraft was named Nijmegen after the old Dutch town close to the West German border.;5550230535;-4577596602973980
06/14/1950;21:55:00;Off Bahrain;Air France;;Saigon - Paris;Douglas DC-4-1009;F-BBDM;42990;5300;400;0;The aircraft crashed into the Persian Gulf while on approach on a flight from Saigon to Paris. Improper approach. Crew error. An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots.;261961051;504915963
01/07/1953;04:12:00;Fish Haven, Idaho;Associated Air Transport;1-6-6A;Boeing Field - Cheyenne;Curtiss C-46;N1648M;22395;4000;400;0;The plane crashed into mountains while en route. Upon entering an area of turbulence, the plane was unable to climb and crashed into trees. Found 5 months later. The inadvertent descent into an area of turbulence and icing which resulted in the pilot's inability to regain a safe altitude.;420368759;-1113963177
04/07/1957;;Bage, Brazil;Varig;;;Curtiss C-46A-45-CU;PP-VCF;30283;4000;400;0;Shortly after  takeoff, a fire developed in the left main landing gear well. The pilot thought the fire had started in the engine, feathered the No.1 engine and returned for an emergency landing. When he couldn't get the gear down, he performed a go-around after which the left wing separated from the plane. The plane crashed and burned. Fracture of the fuel line in the landing gear housing due to wear against the ribs.;-313314264;-541062808
09/11/1963;;Perpignan, France;Air Nautic;;London - Perpignan;Vickers Viking 1B;F-BJER;216;4000;400;0;Crashed into Pide la Roquette while descending for an approach to Perpignan. Navigational error.;426985304;28953121
12/23/1972;;Skaugum, Norway;Braathens;;Alesund - Oslo;Fokker F-28 Fellowship 1000;LN-SUY;11011;4500;400;0;Hit high ground while on approach to Fornebu Airport in Oslo. Pilot error.;598545801;104450346
02/09/1975;;Souda, Crete;Military - Deutsche Luftwaffe;;;Transall C-160;5063;D-85;4000;400;0;Slammed into a mountain at an altitude of 5,000 ft. during an approach to Canea in a snow shower.;3548864435;241521731256341
01/21/1976;;Near Shanghai, China;CAAC;;Guangzhou - Changsha;Antonov AN-24;B-492;;4000;400;0;Crashed during the approach.;313135175;1214857295
06/17/1993;21:10:00;Near Tbilisi, Georgia;Tajikistan Airlines;;Batumi - Baku - Chimkent;Antonov AN-26;RA-26035;SU035;4000;400;0;The crew reported they were diverting due to thunderstorms. Soon after the aircraft crashed after encountering severe turbulence.;417273476;44763146
06/03/2006;16:00:00;Yaocun, China;Military - Chinese Air Force;;;KJ-2000;;;4000;400;0;Witnesses said they heard an explosion and when they reached the crash site they found the plane had crashed into a mountain and the main body of the plane had destroyed a section of bamboo forest, while the tail had dropped onto nearby fields. The plane crashed about 125 miles southwest of Shanghai. Caused by icing, after flying through several icy regions and the plane being overloaded..;356635976;1169248681
10/03/1946;03:30:00;Stephenville, Newfoundland;American Overseas Airlines;;Gander - Shannon;Douglas C-54E-5-DO;NC90904;27290;3900;390;0;Took off from Gander and flew in a straight line into a mountain ridge 71 miles from the airport. The aircraft was named 'Flagship New England.'  It can be concluded that the captain was not alert to the procedure necessary for a safe climb from the runway. The action of the pilot in maintaining the direction of take-off toward higher terrain over which adequate clearance could not be gained.;485452022;-585871146
05/23/1950;10:20:00;Myrtle Beach, South Carolina;Military - U.S. Air Force;;;Curtiss C-46D;44-77577;32973;3900;390;0;Lost the left aileron after taking off, lost control and crashed.;336956461;-788900409
02/02/1953;05:30:00;Off Newfoundland, Canada;Lancashire Aircraft Corporation (Skyways);;Lajes, Azores - Gander;Avro 685 York 1;G-AHFA;1304;3900;390;0;Last know coordinates 46' 15' N, 46'31'W, over the North Atlantic. A distress message was received. No trace of the aircraft or its occupants were ever found.;516333383;-554363742
08/09/1961;17:30:00;Sola, Norway;Cunard Eagle Airways;;London - Sola;Vickers Viking 3B;G-AHPM;152;3900;390;0;Crashed into a mountain18 nm northeast of Stravanger Airport.  Deviation from prescribed course. Cause unknown.;58882082250000000;5356254245388380
09/04/1964;16:34:00;Pico da Caledonia, Brazil;VASP;;Vitoria - Rio de Janeiro;Vickers Viscount 710C;PP-SRR;66;3900;390;0;Crashed into Mt. Nova. Deviated off course for unknown reasons.;-223535326;-4258707
12/02/1968;09:36:00;Pedro Bay, Alaska;Wien Consolidated Airlines;55;Anchorage - Iliamna;Fairchild F-27B;N4905;49;3900;390;0;Broke up in severe turbulence at 11,500 feet. Failure of the right wing that was weakened by pre-existing fatigue cracks.  The turbulence was not forcast and not known to the flight crew.  Improper maintenance. Incorrect weather forcast.;597837275;-15414143444380700
